[2026-09-14T04:29:11.618029+00:00] Victim: Jinkumar Ninama | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 1f6fdb8d72fffcce3efede34709f23399f468b4825c235100ba56ba89c94b908
[2026-09-14T04:29:14.621350+00:00] Victim: Jinkumar Ninama | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: d8f730ba81708bd30cb2db6013fa5e1f7524a6173c765c1228e581df29d6eec9
[2026-09-14T04:29:14.783527+00:00] Victim: Jinkumar Ninama | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: a2a21e23d86684bbc36846f43c9bdbb5ad88d46c5cbcfc678e8e195977235d75
[2026-09-14T04:29:14.938792+00:00] Victim: Jinkumar Ninama | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: b5b8d704574a8ea6a90e07837f15b388d14b55ea109ec0eac8b764761ae6ce3c
[2026-09-14T04:29:15.107768+00:00] Victim: Jinkumar Ninama | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 9e68c7b544455eb9a4414117aebc2f17e9f4f45416639f69546bd9ffea25825e
[2026-09-14T04:29:15.341542+00:00] Victim: Jinkumar Ninama | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 095712a060ac68194b040b8c487c4c572b2bc51b874908814e37ca61aa355f0b
[2026-09-14T04:31:41.637636+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 00ca36a13f675e41213329046e393bdd1d7a7969db5ba02a11fa93d0ad3e8624
[2026-09-14T04:31:43.528830+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 79ebd0a155ac8ebd76b8ad7b789a27b8c400e19a94a9749b4a140a5f7c83e369
[2026-09-14T04:31:43.784008+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 2b4b86a4aeea9196fe0ea21ae0253f77bec636eb12ce29829c613900db8e45ee
[2026-09-14T04:31:43.972912+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 1a3ba22632952f7ac0a38bec80d2f201ddb7d5b200946cc322e686fef12cc27a
[2026-09-14T04:31:44.127993+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: e60b7d7ae01ffcaba029d6d6bba36dc80623f643fa99ecbc454f62df42d2da72
[2026-09-14T04:31:44.291844+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 31a0f463741a0dbde0813e2c2b29de0088547bc47c665ab5c88a69f387b73cd3
[2026-09-14T04:31:44.447929+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: cc2177f6868eadd4c965081c4088c3b994f30b5064ad70da9e062b7b17eafbca
[2026-09-14T04:31:44.610588+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 3ff98ab4c0857fb2adb95488672e8f41da6d6dfdce30b8febb7f2fa99701d42a
[2026-09-14T04:31:44.780282+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 7ddfa03ea8293586712ce1acd4b96680683b65726f5c3ec2407990218090ed74
[2026-09-14T04:31:44.930458+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 5812994ef14f3a37476f0bbc379a47e44efaefc79f437fec82df9f21af37bf56
[2026-09-14T04:31:45.090377+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 63a08653cdd90ee3eda52f9981369f27638a14f6559615f4d68e4e274045d979
[2026-09-14T04:31:45.251441+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 2607d9ffd3d50e7f798a822c8eaea25dca81bb240aa441479a9943f33a6c56c5
[2026-09-14T04:31:45.428783+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: e8b56ccc6d60c91a5bb6e70dcab16f033e2cda682659d03fc8255681ea2b9daa
[2026-09-14T04:31:45.595848+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: db176a2abaf4431bf44c83952e54ba91bffb8ba0dbae62fe9cd6e4f52daefed1
[2026-09-14T04:31:45.756028+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 054da6a5f7223702bd01f7eaba113884100d0e6225da065b02dc9bbe0246fe16
[2026-09-14T04:31:45.950960+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: d56ae82a7d8c0f5074ead9f9e01cbccb09c687bcde9c20d115e18ba644256d1b
[2026-09-14T04:31:46.113443+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 80730d16d3f2fa9b3ab993e96899b495280069ebf338a75c0136bff21b66d14f
[2026-09-14T04:31:46.297109+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 31b60ae5176cd5336b1bec1d8022baac65c8094031e96009d7550ab83d0d0eb4
[2026-09-14T04:31:46.491248+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: d434eb73aedce74157257351a537572a6d029ca558b5bcd3d5a2e3e4264e45dd
[2026-09-14T04:31:46.632787+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: c2488341f800c593ad7af6040c60c9ba9fc41df07b0ac0c3004018923785efc5
[2026-09-14T04:31:46.786391+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: ff3481c64ec5a873fb4bb7f8bed748864b1a3d151bf7733a241176d8e32851b6
[2026-09-14T04:31:46.957998+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 5d92e680a1aede7662790d706b92ce7822d6dc6c732f7685ad0dce7b1d902601
[2026-09-14T04:31:47.157151+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: e956014b6302a4b9e8ed5db9b3d6595d4374bff52e2550a20514a14b0dc8e8da
[2026-09-14T04:31:47.429027+00:00] Victim: Ninama Jinkumar | Wallet: 0x430FcF41E9C25711138eee0c898b0B18060204eB | Chain-of-Custody Hash: 7dbc9c36ae4005ace6968577047b9ea842ec3d14fb62c428106f5eed2c508874
